id,word_id,sense_id,form_type,form_text,source_id,human_review
57108ec8-c8be-51b9-af14-c7ba78938e0d,b03af018-138b-5e4c-a472-5560a28b9703,a21ce8dc-720e-597f-b69f-1230eec33f6a,plural,families,20bba4df-8a16-5e63-b73e-951692d95379,false
e1f2c32b-2cf5-55a3-bb51-287f8b7b173d,c7b71309-71b9-5cda-a712-b4ae6f288c90,52f765e5-e468-5d65-9e23-32fe2e05d59a,plural,parents,20bba4df-8a16-5e63-b73e-951692d95379,false
33f0e8b9-5bee-5cb8-98fc-b7f2b46515a6,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,4f6ac419-d836-541b-ae0d-76642b0975f9,plural,mothers,20bba4df-8a16-5e63-b73e-951692d95379,false
80d36bb6-234f-591e-ac19-870e14f41e05,9bb02efc-bc28-5080-8bc9-4474df8e0147,3c6d20e2-e4f3-5afc-8058-e75033bf5972,plural,children,20bba4df-8a16-5e63-b73e-951692d95379,false
7c38d7f9-af28-55a7-baf8-5f1e65126386,980eb914-7cd7-5ffa-8097-bace94f18edf,3020574e-73de-51f6-a10f-bc5ac51d3680,plural,fathers,20bba4df-8a16-5e63-b73e-951692d95379,false
2b21364e-f5bb-5b57-a3f5-cc1593d8aac6,67b1a04e-7214-510d-ad64-559dbb9af7da,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,plural,sons,20bba4df-8a16-5e63-b73e-951692d95379,false
4d777364-7aa3-5ad6-95ca-ddc2da4bd4d8,62ef2aeb-e532-54b6-8a8a-65714fb6b524,c87a4cda-23e1-5c98-8efe-0ec654a4be4c,plural,daughters,20bba4df-8a16-5e63-b73e-951692d95379,false
6f85fff8-6e1d-5c6c-bc20-f4c9e0523147,43647738-b133-5d8a-bd8f-3318808d95f5,ea790ea2-3091-590a-9382-4a34110050b5,plural,babies,20bba4df-8a16-5e63-b73e-951692d95379,false
0d618372-8da7-5864-ace0-06b911b08b1c,e819ed39-0972-5e46-9f6e-a666bd33d521,bab89739-8d84-56fd-bae0-7b57f736aa43,plural,brothers,20bba4df-8a16-5e63-b73e-951692d95379,false
0bab49e6-436a-5b52-a070-1b3fce0b33ec,5e796aa6-34f0-567b-8ffe-88798986783e,ab1e57cb-ae3e-580e-a4f3-30f59714de7c,plural,dads,20bba4df-8a16-5e63-b73e-951692d95379,false
cc6f1d87-9025-5845-8b13-701a99e91089,435264b6-1c58-587e-8a11-0d29278ec391,f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,plural,husbands,20bba4df-8a16-5e63-b73e-951692d95379,false
05252597-53a1-5590-bcc0-50b96d64f27a,02ed640a-e6b4-5ec4-a19a-59b9bc178d75,c64a79e5-483d-5352-b614-92ed0ffb6196,plural,wives,20bba4df-8a16-5e63-b73e-951692d95379,false
a216ad99-db3f-528d-bfa2-5d9c08ff54a2,db2ade4d-7860-50fb-aff3-3ee580817824,984a8d58-de7e-54cf-96cf-391d0991b6eb,plural,sisters,20bba4df-8a16-5e63-b73e-951692d95379,false
8ec81c1a-3383-5cb7-a8bc-c286decf0945,8d608264-f4c6-5260-9778-58905566cb06,464a2429-5933-547e-8a0a-b02f137222c7,plural,couples,20bba4df-8a16-5e63-b73e-951692d95379,false
